# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.118000000000000000e+03,1.913125824336898617e+01,-1.488484817036776775e+01,2.686412943553214916e+01,5.690769312000000246e-01,9.442899999999999627e-01,2.106349900000000108e+00,2.427421941205125577e+01
2.130000000000000000e+03,-8.849675131746549184e+00,-1.749997849118911120e+01,2.573468198257063477e+01,-9.694698360000000292e-01,7.798699999999999521e-01,-2.654010729999999985e+00,3.011477529746639803e+01
2.132000000000000000e+03,1.554969353831101486e+01,-1.998709451727745190e+01,2.647285179737288985e+01,6.949733379000000433e-01,7.342469999999999830e-01,2.555621288999999852e+00,1.652012407953397854e+01
2.202000000000000000e+03,6.542712671383426049e+00,2.155890801897104225e+01,2.574858646553922981e+01,-2.069321533000000102e+00,9.060840000000000005e-01,-1.061515087999999940e+00,2.570727525630286436e+02
2.203000000000000000e+03,-1.808306991566480804e+01,7.662900449565753114e+00,2.610411540429378974e+01,-2.199690529000000172e+00,8.198870000000000324e-01,-1.037535901999999899e+00,4.309313863245340315e+01
2.236000000000000000e+03,-7.682243967390519401e+00,1.803656684635012297e+01,3.227258420661974014e+01,-2.286335994999999954e+00,7.873099999999999543e-01,-7.669404712999999818e-01,2.462773670003818438e+01
2.260000000000000000e+03,1.240595024564320958e+01,-1.645540757319291103e+01,2.521999628250661729e+01,-2.521273277000000146e-01,8.061890000000000445e-01,2.934427625000000095e+00,1.686170104684019577e+01
2.263000000000000000e+03,2.084329620420373530e+01,1.181079144453096497e+01,2.669016262831049247e+01,2.157503075000000159e+00,8.104219999999999757e-01,1.119527023000000066e+00,1.882183864942115292e+02
2.276000000000000000e+03,-1.632679266561332554e+01,-1.242235682735829805e+01,2.782962680399560895e+01,-2.436132653000000037e+00,6.811310000000000420e-01,-5.825571204999999697e-01,1.573061910721339700e+02
2.291000000000000000e+03,5.606189082046856065e+00,2.039360230785224992e+00,2.559337668505263963e+01,1.051035528000000108e+00,3.587819999999999898e-01,2.163762423000000101e+00,6.538145069030640855e+01
2.292000000000000000e+03,8.765899084962500254e+00,1.778363079484593268e+00,2.610403417752381827e+01,2.418257521000000132e+00,6.426079999999999570e-01,7.684266653000000336e-01,2.699647046308898268e+01
2.293000000000000000e+03,2.160909447567970432e+01,-8.225220109562810578e+00,2.586446254736837247e+01,6.952944076000000528e-01,7.943189999999999973e-01,2.126459585000000096e+00,7.539192934810900226e+01
2.300000000000000000e+03,2.166048863185832474e+01,6.752915723414185223e+00,2.673491503538515346e+01,9.605848058000000522e-01,7.946389999999999842e-01,2.100929988999999942e+00,7.762444792095831758e+01
2.308000000000000000e+03,-4.490516463226103205e+00,-4.819478575437835310e+00,2.849679348517632604e+01,6.705776584000000540e-01,5.304440000000000266e-01,2.293785211999999962e+00,7.138992648722270928e+01
2.310000000000000000e+03,-2.057230634637637579e+01,1.103012579322557585e+01,3.229853818257643638e+01,-1.039619475999999931e+00,7.770610000000000017e-01,-2.336237919999999857e+00,1.596554728829479188e+02
2.312000000000000000e+03,6.682925835783153801e+00,-1.625647355887365109e+01,2.777631379095548780e+01,-5.993310522000000473e-01,9.112719999999999709e-01,-1.987155569000000011e+00,2.355989677090209398e+02
2.317000000000000000e+03,3.086473717837691089e-01,1.745776729278137296e+01,2.603192002090385060e+01,1.626732749000000089e+00,6.434480000000000199e-01,7.935024940999999554e-01,1.973561199696508766e+02
2.318000000000000000e+03,7.673629144024962656e+00,1.301841465971489598e+01,2.782308315493283857e+01,-7.505809373999999812e-01,8.616679999999999895e-01,-2.092888853999999910e+00,3.437481966342580364e+01
2.324000000000000000e+03,2.099490461143807352e+01,2.838720716191218685e+00,2.722289525672637112e+01,1.898318297999999960e+00,5.370500000000000274e-01,1.597147791000000039e+00,5.528139762638307531e+01
2.338000000000000000e+03,1.635123569021598655e+01,-1.323126092313339264e+01,2.691766063861780722e+01,-2.720548321999999852e-01,9.010639999999999761e-01,-2.244552232999999841e+00,9.921097076907587109e+01
2.345000000000000000e+03,1.205450759616559075e+01,1.416295202801685527e+00,2.643662857488266127e+01,1.890744060999999920e+00,7.694379999999999553e-01,1.078172442000000064e+00,4.292060167109987390e+01
2.348000000000000000e+03,1.878264734199198704e-01,2.682478300298395957e-01,3.026019563875504303e+01,-2.301750281999999981e+00,9.128039999999999488e-01,-7.409075174000000485e-01,2.569818303956243355e+01
